universitySlug,nameFa,iscCategory,iscRank,portalAuditStatus,deepAuditStatus,auditEvidenceCoverage,unitsFound,systemsFound,documentsFound,rankingEligibility,dimension_portalIdentity,dimension_organization,dimension_libraryDocuments,dimension_laboratories,dimension_industryTechnology,dimension_systemsServices,dimension_documentsRegulations
tehran,دانشگاه تهران,جامع,1,direct-official,identity-verified-deep-pending,71,2,0,76,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,verified,verified
tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,direct-official,identity-verified-deep-pending,71,2,0,79,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,verified
ferdowsi,دانشگاه فردوسی مشهد,جامع,3,direct-official,deep-audited,100,7,4,106,candidate,verified,verified,verified,verified,verified,verified,verified
shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,direct-official,identity-verified-deep-pending,71,2,0,59,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,verified,verified
shiraz,دانشگاه شیراز,جامع,5,direct-official,deep-audited,100,3,1,96,candidate,verified,verified,verified,verified,verified,verified,verified
tabriz,دانشگاه تبریز,جامع,6,direct-official,identity-verified-deep-pending,71,0,0,9,unranked-evidence-insufficient,verified,verified,verified,unresolved,unresolved,verified,verified
isfahan,دانشگاه اصفهان,جامع,7,direct-official,identity-verified-deep-pending,71,4,0,27,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,verified
razi,دانشگاه رازی,جامع,8,direct-official,identity-verified-deep-pending,71,1,0,9,unranked-evidence-insufficient,verified,verified,verified,unresolved,unresolved,verified,verified
iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,official-channel-reference,reference-resolved-deep-pending,43,0,0,25,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,observed-reference,observed-reference,unresolved,verified
kharazmi,دانشگاه خوارزمی,جامع,10,direct-official,deep-audited,100,6,4,3,candidate,verified,verified,verified,verified,verified,verified,verified
allameh,دانشگاه علامه طباطبایی,جامع,11,direct-official,identity-verified-deep-pending,71,3,0,118,unranked-evidence-insufficient,verified,verified,verified,unresolved,verified,unresolved,verified
shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,direct-official,identity-verified-deep-pending,29,0,0,120,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,verified
guilan,دانشگاه گیلان,جامع,13,direct-official,identity-verified-deep-pending,14,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
urmia,دانشگاه ارومیه,جامع,14,direct-official,deep-audited,100,3,0,21,candidate,verified,verified,verified,verified,verified,verified,verified
semnan,دانشگاه سمنان,جامع,15,direct-official,deep-audited,100,7,3,115,candidate,verified,verified,verified,verified,verified,verified,verified
sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16,direct-official,deep-audited,86,5,0,84,candidate,verified,unresolved,verified,verified,verified,verified,verified
yazd,دانشگاه یزد,جامع,17,direct-official,deep-audited,100,6,0,90,candidate,verified,verified,verified,verified,verified,verified,verified
mohaghegh-ardabili,دانشگاه محقق اردبیلی,جامع,18,direct-official,deep-audited,100,4,1,57,candidate,verified,verified,verified,verified,verified,verified,verified
kurdistan,دانشگاه کردستان,جامع,19,direct-official,identity-verified-deep-pending,43,0,1,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,verified,verified,unresolved
shahid-chamran-ahvaz,دانشگاه شهید چمران اهواز,جامع,20,direct-official,identity-verified-deep-pending,57,1,0,0,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,unresolved
kashan,دانشگاه کاشان,جامع,21,direct-official,deep-audited,86,5,1,33,candidate,verified,verified,verified,verified,unresolved,verified,verified
shahrekord,دانشگاه شهرکرد,جامع,22,direct-official,deep-audited,100,6,2,12,candidate,verified,verified,verified,verified,verified,verified,verified
bu-ali-sina,دانشگاه بوعلی سینا,جامع,23,direct-official,identity-verified-deep-pending,64,1,1,10,unranked-evidence-insufficient,verified,observed-reference,verified,unresolved,unresolved,verified,verified
qom,دانشگاه قم,جامع,23,direct-official,deep-audited,86,3,3,83,candidate,verified,verified,verified,unresolved,verified,verified,verified
alzahra,دانشگاه الزهرا (س),جامع,25,direct-official,identity-verified-deep-pending,43,1,0,0,unranked-evidence-insufficient,verified,unresolved,verified,verified,unresolved,unresolved,unresolved
mazandaran,دانشگاه مازندران,جامع,26,direct-official,identity-verified-deep-pending,64,2,0,83,unranked-evidence-insufficient,verified,observed-reference,verified,verified,unresolved,unresolved,verified
imam-khomeini-international,دانشگاه بین المللی امام خمینی (ره),جامع,27,direct-official,identity-verified-deep-pending,57,0,0,23,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,verified,verified,verified
persian-gulf,دانشگاه خلیج فارس,جامع,28,direct-official,identity-verified-deep-pending,64,2,0,25,unranked-evidence-insufficient,verified,observed-reference,verified,unresolved,verified,unresolved,verified
zanjan,دانشگاه زنجان,جامع,29,direct-official,deep-audited,86,5,0,125,candidate,verified,verified,verified,verified,verified,unresolved,verified
ilam,دانشگاه ایلام,جامع,30,direct-official,identity-verified-deep-pending,57,0,0,60,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,verified,verified,verified
hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,direct-official,deep-audited,86,6,1,74,candidate,verified,unresolved,verified,verified,verified,verified,verified
arak,دانشگاه اراک,جامع,32,direct-official,deep-audited,93,4,3,15,candidate,verified,observed-reference,verified,verified,verified,verified,verified
azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,direct-official,deep-audited,86,1,4,61,candidate,verified,verified,verified,verified,unresolved,verified,verified
birjand,دانشگاه بیرجند,جامع,34,direct-official,identity-verified-deep-pending,71,1,0,71,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,verified
vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,direct-official,identity-verified-deep-pending,71,2,0,49,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,verified
lorestan,دانشگاه لرستان,جامع,36,direct-official,deep-audited,86,6,0,95,candidate,verified,verified,verified,verified,verified,unresolved,verified
maragheh,دانشگاه مراغه,جامع,37,direct-official,identity-verified-deep-pending,71,1,0,55,unranked-evidence-insufficient,verified,observed-reference,unresolved,verified,verified,observed-reference,verified
zabol,دانشگاه زابل,جامع,38,direct-official,identity-verified-deep-pending,29,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,verified
yasouj,دانشگاه یاسوج,جامع,38,direct-official,identity-verified-deep-pending,21,0,0,0,unranked-evidence-insufficient,verified,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved
damghan,دانشگاه دامغان,جامع,40,direct-official,deep-audited,86,4,1,67,candidate,verified,verified,verified,unresolved,verified,verified,verified
bonab,دانشگاه بناب,جامع,41,direct-official,deep-audited,100,5,0,61,candidate,verified,verified,verified,verified,verified,verified,verified
golestan,دانشگاه گلستان,جامع,42,direct-official,identity-verified-deep-pending,50,2,0,98,unranked-evidence-insufficient,verified,observed-reference,verified,unresolved,unresolved,unresolved,verified
hormozgan,دانشگاه هرمزگان,جامع,42,direct-official,deep-audited,86,2,1,29,candidate,verified,unresolved,verified,verified,verified,verified,verified
tafresh,دانشگاه تفرش,جامع,44,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
ardakan,دانشگاه اردکان,جامع,44,direct-official,identity-verified-deep-pending,71,1,0,18,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,verified,verified
fasa,دانشگاه فسا,جامع,46,false-positive-blocked,blocked-needs-alternative-discovery,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46,direct-official,deep-audited,93,7,1,49,candidate,verified,observed-reference,verified,verified,verified,verified,verified
bojnord,دانشگاه بجنورد,جامع,46,direct-official,deep-audited,79,2,0,76,candidate,verified,observed-reference,verified,verified,verified,unresolved,verified
khorramshahr-marine,دانشگاه علوم و فنون دریایی خرمشهر,جامع,49,direct-official,identity-verified-deep-pending,57,2,0,26,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,unresolved,verified
meybod,دانشگاه میبد,جامع,50,direct-official,deep-audited,100,5,0,30,candidate,verified,verified,verified,verified,verified,verified,verified
bozorgmehr-qaenat,دانشگاه بزرگمهر قائنات,جامع,51,direct-official,identity-verified-deep-pending,57,2,0,47,unranked-evidence-insufficient,verified,unresolved,unresolved,verified,verified,unresolved,verified
chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51,direct-official,deep-audited,100,20,0,17,candidate,verified,verified,verified,verified,verified,verified,verified
velayat,دانشگاه ولایت,جامع,53,direct-official,identity-verified-deep-pending,57,1,0,42,unranked-evidence-insufficient,verified,verified,verified,unresolved,unresolved,unresolved,verified
amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54,direct-official,deep-audited,100,2,1,77,candidate,verified,verified,verified,verified,verified,verified,verified
malayer,دانشگاه ملایر,جامع,55,direct-official,deep-audited,93,3,2,100,candidate,verified,verified,verified,observed-reference,verified,verified,verified
gonbad-kavous,دانشگاه گنبد کاووس,جامع,56,direct-official,deep-audited,86,1,1,35,candidate,verified,verified,verified,verified,unresolved,verified,verified
torbat-heydarieh,دانشگاه تربت حیدریه,جامع,57,secondary-reference,portal-resolution-pending,43,0,0,1,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,verified,verified,verified
hazrat-masoumeh,دانشگاه حضرت معصومه (س),جامع,58,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
jahrom,دانشگاه جهرم,جامع,59,direct-official,identity-verified-deep-pending,71,3,0,14,unranked-evidence-insufficient,verified,verified,verified,unresolved,verified,unresolved,verified
kosar,دانشگاه کوثر,جامع,60,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
jiroft,دانشگاه جیرفت,جامع,61,direct-official,identity-verified-deep-pending,71,3,0,63,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,verified,verified
salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62,direct-official,deep-audited,86,8,0,21,candidate,verified,verified,verified,verified,verified,unresolved,verified
lar-higher-ed,مرکز آموزش عالی لار,جامع,62,secondary-reference,portal-resolution-pending,43,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,verified,unresolved,verified,verified
gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64,direct-official,deep-audited,93,3,0,14,candidate,verified,observed-reference,verified,verified,verified,verified,verified
bam-higher-ed,مجتمع آموزش عالی بم,جامع,65,direct-official,deep-audited,86,4,0,86,candidate,verified,verified,verified,verified,verified,unresolved,verified
neyshabur,دانشگاه نیشابور,جامع,66,direct-official,deep-audited,86,6,0,73,candidate,verified,unresolved,verified,verified,verified,verified,verified
eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67,direct-official,deep-audited,86,1,0,0,candidate,verified,unresolved,verified,verified,verified,verified,verified
kashmar-higher-ed,مرکز آموزش عالی کاشمر,جامع,68,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
seyed-jamaleddin-asadabadi,دانشگاه سید جمال الدین اسدآبادی,جامع,68,secondary-reference,portal-resolution-pending,0,0,0,0,unranked-evidence-insufficient,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
iust,دانشگاه علم و صنعت ایران,صنعتی,1,direct-official,deep-audited,93,5,3,33,candidate,verified,verified,verified,verified,observed-reference,verified,verified
sharif,دانشگاه صنعتی شریف,صنعتی,2,direct-official,identity-verified-deep-pending,43,2,0,56,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,verified,unresolved,verified
amirkabir,دانشگاه صنعتی امیرکبیر,صنعتی,3,direct-official,identity-verified-deep-pending,57,2,0,33,unranked-evidence-insufficient,verified,unresolved,verified,verified,unresolved,unresolved,verified
kntu,دانشگاه صنعتی خواجه نصیرالدین طوسی,صنعتی,4,direct-official,identity-verified-deep-pending,57,1,0,33,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,unresolved,verified
isfahan-technology,دانشگاه صنعتی اصفهان,صنعتی,5,direct-official,identity-verified-deep-pending,71,5,0,78,unranked-evidence-insufficient,verified,unresolved,verified,verified,verified,unresolved,verified
shahrood-technology,دانشگاه صنعتی شاهرود,صنعتی,6,direct-official,deep-audited,93,4,1,108,candidate,verified,observed-reference,verified,verified,verified,verified,verified
babol-noshirvani,دانشگاه صنعتی نوشیروانی بابل,صنعتی,7,direct-official,identity-verified-deep-pending,57,0,0,52,unranked-evidence-insufficient,verified,observed-reference,verified,unresolved,observed-reference,unresolved,verified
sahand,دانشگاه صنعتی سهند,صنعتی,8,direct-official,identity-verified-deep-pending,71,0,0,44,unranked-evidence-insufficient,verified,observed-reference,verified,verified,unresolved,observed-reference,verified
shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,direct-official,deep-audited,79,24,0,90,candidate,verified,observed-reference,unresolved,verified,verified,verified,verified
kgut,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان,صنعتی,10,direct-official,identity-verified-deep-pending,71,3,0,3,unranked-evidence-insufficient,verified,unresolved,verified,unresolved,verified,verified,verified
urmia-technology,دانشگاه صنعتی ارومیه,صنعتی,11,direct-official,identity-verified-deep-pending,71,5,0,51,unranked-evidence-insufficient,verified,unresolved,unresolved,verified,verified,verified,verified
qochan-technology,دانشگاه صنعتی قوچان,صنعتی,12,direct-official,identity-verified-deep-pending,50,1,0,43,unranked-evidence-insufficient,verified,verified,unresolved,unresolved,observed-reference,unresolved,verified
arak-technology,دانشگاه صنعتی اراک,صنعتی,13,official-channel-reference,reference-resolved-deep-pending,14,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved
kermanshah-technology,دانشگاه صنعتی کرمانشاه,صنعتی,14,direct-official,identity-verified-deep-pending,57,2,0,90,unranked-evidence-insufficient,verified,verified,unresolved,unresolved,verified,unresolved,verified
qom-technology,دانشگاه صنعتی قم,صنعتی,15,direct-official,identity-verified-deep-pending,57,2,1,0,unranked-evidence-insufficient,verified,verified,verified,unresolved,unresolved,verified,unresolved
