slug,nameFa,iscCategory,iscRank,portalAuditStatus,deepAuditStatus,auditEvidenceCoverage,rank,score,confidence,url
tehran,دانشگاه تهران,جامع,1,direct-official,deep-audited,75,53,68.2,82,/datasets/audit-packets/tehran.json
tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,direct-official,deep-audited,75,43,70.6,82,/datasets/audit-packets/tarbiat-modares.json
ferdowsi,دانشگاه فردوسی مشهد,جامع,3,direct-official,deep-audited,88,4,89.9,91.4,/datasets/audit-packets/ferdowsi.json
shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/shahid-beheshti.json
shiraz,دانشگاه شیراز,جامع,5,direct-official,deep-audited,88,34,74.3,91.4,/datasets/audit-packets/shiraz.json
tabriz,دانشگاه تبریز,جامع,6,direct-official,identity-verified-deep-pending,13,,,,/datasets/audit-packets/tabriz.json
isfahan,دانشگاه اصفهان,جامع,7,direct-official,deep-audited,88,1,95.1,91.4,/datasets/audit-packets/isfahan.json
razi,دانشگاه رازی,جامع,8,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/razi.json
iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,official-channel-reference,reference-resolved-deep-pending,50,,,,/datasets/audit-packets/iasbs.json
kharazmi,دانشگاه خوارزمی,جامع,10,direct-official,deep-audited,100,19,82.7,100,/datasets/audit-packets/kharazmi.json
allameh,دانشگاه علامه طباطبایی,جامع,11,direct-official,deep-audited,75,3,90.7,82,/datasets/audit-packets/allameh.json
shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,direct-official,identity-verified-deep-pending,50,,,,/datasets/audit-packets/shahid-bahonar-kerman.json
guilan,دانشگاه گیلان,جامع,13,direct-official,identity-verified-deep-pending,50,,,,/datasets/audit-packets/guilan.json
urmia,دانشگاه ارومیه,جامع,14,direct-official,deep-audited,75,57,65.4,82,/datasets/audit-packets/urmia.json
semnan,دانشگاه سمنان,جامع,15,direct-official,deep-audited,100,2,93.9,100,/datasets/audit-packets/semnan.json
sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/sistan-baluchestan.json
yazd,دانشگاه یزد,جامع,17,direct-official,deep-audited,75,56,67.6,82,/datasets/audit-packets/yazd.json
