id,universitySlug,nameFa,iscCategory,iscRank,dimension,status,reportedStatus,publicationAdjustment,reviewOutcome,reviewedAt,sourceCount,sourceKinds,sourceUrls,verificationBasis,missingDataRule
tehran:portalIdentity,tehran,دانشگاه تهران,جامع,1,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://research.ut.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tehran:organization,tehran,دانشگاه تهران,جامع,1,organization,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ut.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tehran:libraryDocuments,tehran,دانشگاه تهران,جامع,1,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ut.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tehran:laboratories,tehran,دانشگاه تهران,جامع,1,laboratories,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ut.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tehran:industryTechnology,tehran,دانشگاه تهران,جامع,1,industryTechnology,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.ut.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tehran:informationTechnology,tehran,دانشگاه تهران,جامع,1,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tehran:systemsServices,tehran,دانشگاه تهران,جامع,1,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,system,https://research.ut.ac.ir/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tehran:documentsRegulations,tehran,دانشگاه تهران,جامع,1,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:portalIdentity,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,2,research-review-specific | research-review-specific,https://res.modares.ac.ir/ | https://res.modares.ac.ir/res/research-units,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:organization,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,organization,verified,verified,,evidence-confirmed,2026-08-10,1,research-review-specific,https://res.modares.ac.ir/res/research-units,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:libraryDocuments,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,research-review-specific,https://res.modares.ac.ir/res/managements/library/people,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:laboratories,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:industryTechnology,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:informationTechnology,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:systemsServices,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
tarbiat-modares:documentsRegulations,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,documentsRegulations,verified,verified,,evidence-confirmed,2026-08-10,1,research-review-specific,https://res.modares.ac.ir/res/forms,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
ferdowsi:portalIdentity,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://vpr.um.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
