rank,universitySlug,nameFa,iscCategory,iscRank,score,confidence,evidenceCoverage,activeWeight,portalRankWithinISCClass,rankedPortalsInISCClass,metric_documents,metric_organization,metric_library,metric_laboratories,metric_systems,metric_industryTech,metric_dataQuality,metric_findability
1,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,91.7,100,100,100,1,50,100,81.7,100,100,80,90,100,75
2,semnan,دانشگاه سمنان,جامع,15,90.9,100,100,100,2,50,82,100,100,100,85,90,100,75
3,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,90,100,100,100,3,50,100,100,100,70,74.8,90,100,77.9
4,allameh,دانشگاه علامه طباطبایی,جامع,11,89.9,89.9,86,88,4,50,100,81.7,100,,67.5,100,100,72.1
5,isfahan,دانشگاه اصفهان,جامع,7,87.5,100,100,100,5,50,91,81.7,100,70,81.5,100,100,73.5
6,gorgan-agri,دانشگاه علوم کشاورزی و منابع طبیعی گرگان,علوم کشاورزی,1,86.8,89.9,86,88,1,3,91,81.7,100,,67.5,90,100,75
7,shahid-rajaee,دانشگاه تربیت دبیر شهید رجایی,دستگاه اجرایی,4,86.6,100,100,100,1,4,100,81.7,100,70,67.5,90,100,75
8,isfahan-technology,دانشگاه صنعتی اصفهان,صنعتی,5,86.6,100,100,100,1,16,82,90.8,100,70,80,100,100,73.3
9,qom,دانشگاه قم,جامع,23,86.4,89.9,86,88,6,50,100,81.7,70,,74.5,90,100,75
10,gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64,84.8,100,100,100,7,50,91,81.7,100,70,67.5,90,100,75
11,shahrekord,دانشگاه شهرکرد,جامع,22,84.7,100,100,100,8,50,82,90.8,70,100,67.5,90,100,75
12,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,84.1,100,100,100,9,50,91,90.8,70,70,67.5,100,100,75
13,arak,دانشگاه اراک,جامع,32,83.9,100,100,100,10,50,73,100,70,70,85,100,100,76.6
14,amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54,83.2,100,100,100,11,50,100,90.8,70,70,55,90,100,75
15,urmia-technology,دانشگاه صنعتی ارومیه,صنعتی,11,83.2,89.9,86,90,2,16,100,72.5,,70,52.5,100,100,75
16,lorestan,دانشگاه لرستان,جامع,36,83,100,100,100,12,50,91,81.7,100,100,67.5,45,100,75
17,urmia,دانشگاه ارومیه,جامع,14,82.9,100,100,100,13,50,73,90.8,70,100,67.5,90,100,75
18,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,82.7,100,100,100,14,50,100,81.7,100,70,35,90,100,75
19,shiraz,دانشگاه شیراز,جامع,5,82.3,100,100,100,15,50,73,90.8,100,70,67.5,90,100,75
20,shahed,دانشگاه شاهد,دستگاه اجرایی,2,82.2,100,100,100,2,4,91,100,100,70,69,45,100,78.8
21,alzahra,دانشگاه الزهرا (س),جامع,25,82.2,89.9,86,80,16,50,,81.7,100,70,67.5,90,100,66.3
22,zanjan,دانشگاه زنجان,جامع,29,81.4,100,100,100,17,50,91,90.8,70,70,55,90,100,75
23,shahrood-technology,دانشگاه صنعتی شاهرود,صنعتی,6,81.3,100,100,100,3,16,100,72.5,100,70,67.5,55,100,75
24,iust,دانشگاه علم و صنعت ایران,صنعتی,1,80.6,100,100,100,4,16,82,81.7,100,70,83.5,55,100,73.8
25,sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16,80.3,100,100,100,18,50,91,81.7,70,70,55,90,100,75
26,meybod,دانشگاه میبد,جامع,50,80.2,100,100,100,19,50,91,90.8,70,70,45,90,100,75
27,yazd,دانشگاه یزد,جامع,17,80,100,100,100,20,50,91,81.7,70,100,67.5,45,100,75
28,birjand,دانشگاه بیرجند,جامع,34,80,100,100,100,21,50,91,81.7,70,100,67.5,45,100,75
29,tabriz-islamic-art,دانشگاه هنر اسلامی تبریز,هنر,2,79.6,100,100,100,1,3,82,90.8,70,70,55,90,100,75
30,ilam,دانشگاه ایلام,جامع,30,79.6,100,100,100,22,50,82,90.8,70,70,55,90,100,75
31,sari-agri,دانشگاه علوم کشاورزی و منابع طبیعی ساری,علوم کشاورزی,2,79.4,100,100,100,2,3,64,81.7,100,70,67.5,90,100,75
32,sirjan-technology,دانشگاه صنعتی سیرجان,صنعتی,19,79.1,100,100,100,5,16,91,81.7,100,70,55,55,100,75
33,kashan,دانشگاه کاشان,جامع,21,79,100,100,100,23,50,91,90.8,70,70,35,90,100,75
34,damghan,دانشگاه دامغان,جامع,40,79,89.9,86,88,24,50,91,81.7,70,,35,90,100,75
35,buin-zahra-higher-ed,مرکز آموزش عالی فنی و مهندسی بوئین زهرا,صنعتی,23,78.1,100,100,100,6,16,91,90.8,70,70,27.5,90,100,75
36,ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46,77.8,100,100,100,25,50,73,90.8,70,70,55,90,100,75
37,hormozgan,دانشگاه هرمزگان,جامع,42,77.7,100,100,100,26,50,91,72.5,100,70,62.5,45,100,75
38,khuzestan-agri,دانشگاه علوم کشاورزی و منابع طبیعی خوزستان,علوم کشاورزی,3,77.7,95,93,88,3,3,100,72.5,70,70,,45,100,68.8
39,isfahan-art,دانشگاه هنر اصفهان,هنر,3,77.6,100,100,100,2,3,91,81.7,70,70,67.5,55,100,75
40,kntu,دانشگاه صنعتی خواجه نصیرالدین طوسی,صنعتی,4,77.2,89.9,86,88,7,16,82,63.3,100,,67.5,55,100,72.5
41,salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62,76.9,100,100,100,27,50,91,90.8,70,70,17.5,90,100,75
42,gonbad-kavous,دانشگاه گنبد کاووس,جامع,56,76.7,100,100,100,28,50,100,81.7,70,70,55,45,100,75
43,amirkabir,دانشگاه صنعتی امیرکبیر,صنعتی,3,76.7,89.9,86,88,8,16,82,63.3,100,70,50,,100,71
44,payame-noor,دانشگاه پیام نور,زیرنظام,1,76.5,100,100,100,1,3,82,72.5,100,70,67.5,45,100,75
45,petroleum,دانشگاه صنعت نفت,دستگاه اجرایی,8,76.5,100,100,100,3,4,91,72.5,70,70,67.5,55,100,75
46,golestan,دانشگاه گلستان,جامع,42,76.4,89.9,86,88,29,50,91,72.5,100,,45,45,100,75
47,shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,76.2,89.9,86,90,9,16,73,72.5,,70,45,100,100,75
48,bonab,دانشگاه بناب,جامع,41,75.4,100,100,100,30,50,73,90.8,70,70,35,90,100,75
49,neyshabur,دانشگاه نیشابور,جامع,66,75,100,100,100,31,50,82,72.5,100,70,55,45,100,75
50,maragheh,دانشگاه مراغه,جامع,37,75,84.9,79,78,32,50,91,63.3,,70,,45,100,68.8
51,kharazmi,دانشگاه خوارزمی,جامع,10,74.9,100,100,100,33,50,58,100,70,70,45.5,90,100,76.8
52,bojnord,دانشگاه بجنورد,جامع,46,74.6,100,100,100,34,50,82,81.7,100,70,42.5,45,100,75
