universitySlug,nameFa,iscCategory,iscRank,portalAuditStatus,deepAuditStatus,auditEvidenceCoverage,unitsFound,systemsFound,documentsFound,rankingEligibility,dimension_portalIdentity,dimension_organization,dimension_libraryDocuments,dimension_laboratories,dimension_industryTechnology,dimension_informationTechnology,dimension_systemsServices,dimension_documentsRegulations
tehran,دانشگاه تهران,جامع,1,direct-official,deep-audited,75,6,2,0,candidate,verified,verified,verified,verified,verified,unresolved,verified,unresolved
tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,direct-official,identity-verified-deep-pending,25,0,0,1,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,verified
ferdowsi,دانشگاه فردوسی مشهد,جامع,3,direct-official,deep-audited,88,13,9,1,candidate,verified,verified,verified,verified,verified,unresolved,verified,verified
shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
shiraz,دانشگاه شیراز,جامع,5,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
tabriz,دانشگاه تبریز,جامع,6,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
isfahan,دانشگاه اصفهان,جامع,7,direct-official,deep-audited,88,14,8,3,candidate,verified,verified,verified,verified,verified,unresolved,verified,verified
razi,دانشگاه رازی,جامع,8,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,official-channel-reference,reference-resolved-deep-pending,25,0,0,0,unranked-evidence-insufficient,observed-reference,observed-reference,unresolved,observed-reference,observed-reference,unresolved,unresolved,unresolved
kharazmi,دانشگاه خوارزمی,جامع,10,direct-official,deep-audited,100,14,6,1,candidate,verified,verified,verified,verified,verified,verified,verified,verified
allameh,دانشگاه علامه طباطبایی,جامع,11,direct-official,deep-audited,75,4,2,8,candidate,verified,verified,verified,unresolved,verified,unresolved,verified,verified
shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
guilan,دانشگاه گیلان,جامع,13,direct-official,identity-verified-deep-pending,13,0,0,0,unranked-evidence-insufficient,verified,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
urmia,دانشگاه ارومیه,جامع,14,official-reference,reference-resolved-deep-pending,6,0,0,0,unranked-evidence-insufficient,observed-reference,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
semnan,دانشگاه سمنان,جامع,15,direct-official,deep-audited,100,14,9,6,candidate,verified,verified,verified,verified,verified,verified,verified,verified
