universitySlug,nameFa,iscCategory,iscRank,auditDate,portalAuditStatus,researchUrl,evidenceUrls,note,scoreEligibility
tehran,دانشگاه تهران,جامع,1,2026-08-11,direct-official,https://research.ut.ac.ir/fa,https://research.ut.ac.ir/fa,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,2026-08-11,direct-official,https://res.modares.ac.ir/,https://res.modares.ac.ir/ | https://res.modares.ac.ir/res/people | https://res.modares.ac.ir/res/research-units | https://res.modares.ac.ir/res/managements/library/people | https://res.modares.ac.ir/res/forms,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
ferdowsi,دانشگاه فردوسی مشهد,جامع,3,2026-08-11,direct-official,https://vpr.um.ac.ir/,https://vpr.um.ac.ir/ | https://iraniah.um.ac.ir/index.php/fa/regulations-and-forms/postgraduate-forms,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,2026-08-11,direct-official,https://resevp.sbu.ac.ir/,https://sbu.ac.ir/ | https://resevp.sbu.ac.ir/ | https://press.sbu.ac.ir/ | https://scj.sbu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
shiraz,دانشگاه شیراز,جامع,5,2026-08-11,direct-official,https://research.shirazu.ac.ir/,https://law.shirazu.ac.ir/ | https://research.shirazu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
tabriz,دانشگاه تبریز,جامع,6,2026-08-11,direct-official,https://research.tabrizu.ac.ir/,https://tabrizu.ac.ir/ | https://research.tabrizu.ac.ir/ | https://research.tabrizu.ac.ir/fa/page/9498/%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1%DB%8C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%BE%DA%98%D9%88%D9%87%D8%B4-%D9%88-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C | https://pprs.tabrizu.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
isfahan,دانشگاه اصفهان,جامع,7,2026-08-11,direct-official,https://research.ui.ac.ir/,https://research.ui.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
razi,دانشگاه رازی,جامع,8,2026-08-11,direct-official,https://are.razi.ac.ir/,https://t.me/hambazi_razi | https://are.razi.ac.ir/ | https://are.razi.ac.ir/%D9%85%D8%AF%DB%8C%D8%B1%DB%8C%D8%AA-%D8%A7%D9%85%D9%88%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DB%8C,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9,2026-08-11,official-channel-reference,,https://t.me/iasbspr | https://iasbs.ac.ir/ | https://zrtf.ir/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%AA%D8%AD%D8%B5%DB%8C%D9%84%D8%A7%D8%AA-%D8%AA%DA%A9%D9%85%DB%8C%D9%84%DB%8C-%D8%B9%D9%84%D9%88%D9%85-%D9%BE%D8%A7%DB%8C%D9%87/,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
kharazmi,دانشگاه خوارزمی,جامع,10,2026-08-11,direct-official,https://research.khu.ac.ir/,https://research.khu.ac.ir/ | https://pgeducation.khu.ac.ir/files/site41/files/aeen_name_ejraee_97.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
allameh,دانشگاه علامه طباطبایی,جامع,11,2026-08-11,direct-official,https://research.atu.ac.ir/fa,https://research.atu.ac.ir/fa,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12,2026-08-11,official-reference,,https://t.me/Sbukerman_official,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. کانال رسمی دانشگاه شهید باهنر کرمان فعالیت معاونت پژوهشی را ثبت کرده است.,unranked
guilan,دانشگاه گیلان,جامع,13,2026-08-11,direct-official,https://resvp.guilan.ac.ir/,https://guilan.ac.ir/ | https://resvp.guilan.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
