id,universitySlug,title,type,topic,url,parentUrl,format,status,evidence,publishedDate,lastVerified,publisherUnit,approvalAuthority
isfahan-doc-1,isfahan,آیین‌نامه پذیرش مرکز رشد,آیین‌نامه,,,,,active,verified,,2026-08-10,,
isfahan-doc-2,isfahan,آیین‌نامه تمدید استقرار شرکت‌های دانش‌بنیان,آیین‌نامه,,,,,active,verified,,2026-08-10,,
isfahan-doc-3,isfahan,فرآیند استقرار در مرکز رشد,فرآیند,,,,,active,verified,,2026-08-10,,
allameh-doc-1,allameh,شیوه‌نامه انتخاب سرآمدان پژوهشی,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
allameh-doc-2,allameh,شیوه‌نامه طرح‌های پژوهشی,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
allameh-doc-3,allameh,دستورالعمل نشست‌های علمی,دستورالعمل,,,,,active,verified,,2026-08-10,,
allameh-doc-4,allameh,شیوه‌نامه مدرسه پژوهشی,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
allameh-doc-5,allameh,دستورالعمل پژوهانه جامع,دستورالعمل,,,,,active,verified,,2026-08-10,,
allameh-doc-6,allameh,شیوه‌نامه دستیار پژوهشی,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
allameh-doc-7,allameh,شیوه‌نامه حمایت از پایان‌نامه,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
allameh-doc-8,allameh,آیین‌نامه تخلفات پژوهشی,آیین‌نامه,,,,,active,verified,,2026-08-10,,
semnan-doc-1,semnan,الحاقیه شیوه‌نامه پژوهانه جامع,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
semnan-doc-2,semnan,دستورالعمل ایمنی آزمایشگاه‌ها,دستورالعمل,,,,,active,verified,,2026-08-10,,
semnan-doc-3,semnan,شیوه‌نامه تخلفات پژوهشی,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
semnan-doc-4,semnan,شیوه‌نامه همکاری با جامعه و صنعت,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
semnan-doc-5,semnan,دستورالعمل پژوهانه جامع,دستورالعمل,,,,,active,verified,,2026-08-10,,
semnan-doc-6,semnan,شیوه‌نامه آزمایشگاه مرکزی,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
sharif-doc-1,sharif,آیین‌نامه مالکیت فکری,آیین‌نامه,,,,,active,verified,,2026-08-10,,
sharif-doc-2,sharif,شیوه‌نامه برنامه هاتف,شیوه‌نامه,,,,,active,verified,,2026-08-10,,
isfahan-technology-doc-1,isfahan-technology,آیین‌نامه پژوهانه,آیین‌نامه,,,,,active,verified,,2026-08-10,,
isfahan-technology-doc-2,isfahan-technology,آیین‌نامه‌ها و فرم‌های پسادکتری,آیین‌نامه,,,,,active,verified,,2026-08-10,,
isfahan-technology-doc-3,isfahan-technology,تشویق مقالات,سند,,,,,active,verified,,2026-08-10,,
isfahan-technology-doc-4,isfahan-technology,فرصت مطالعاتی,سند,,,,,active,verified,,2026-08-10,,
isfahan-technology-doc-5,isfahan-technology,راهنمای استفاده از هوش مصنوعی در پژوهش,سند,,,,,active,verified,,2026-08-10,,
qom-technology-doc-1,qom-technology,فرم‌ها و آیین‌نامه‌های پژوهشی,آیین‌نامه,,,,,active,verified,,2026-08-10,,
qom-technology-doc-2,qom-technology,طرح‌های درون‌سازمانی و برون‌سازمانی,سند,,,,,active,verified,,2026-08-10,,
qom-technology-doc-3,qom-technology,مجلات علمی دانشگاه,سند,,,,,active,verified,,2026-08-10,,
iran-art-doc-1,iran-art,دستورالعمل جشنواره پژوهشگران و فناوران,دستورالعمل,,,,,active,verified,,2026-08-10,,
iran-art-doc-2,iran-art,چارچوب موظفی اعضای هیئت علمی پژوهشی,سند,,,,,active,verified,,2026-08-10,,
iran-art-doc-3,iran-art,فرم تناسب رساله,فرم,,,,,active,verified,,2026-08-10,,
iran-art-doc-4,iran-art,آیین‌نامه هدفمندسازی رساله‌های دکتری,آیین‌نامه,,,,,active,verified,,2026-08-10,,
iran-art-doc-5,iran-art,آیین‌نامه حمایت از پایان‌نامه و رساله,آیین‌نامه,,,,,active,verified,,2026-08-10,,
iran-art-doc-6,iran-art,آیین‌نامه دکتری آموزشی-پژوهشی,آیین‌نامه,,,,,active,verified,,2026-08-10,,
shahed-thesis-writing-guideline,shahed,شیوه‌نامه نگارش پایان‌نامه‌ها,شیوه‌نامه,پایان‌نامه و رساله,,https://library.shahed.ac.ir/,HTML/link-index,active,verified,,2026-08-10,مرکز اسناد و مدارک علمی,
