slug,nameFa,category,iscRank
tehran,دانشگاه تهران,جامع,1
tarbiat-modares,دانشگاه تربیت مدرس,جامع,2
ferdowsi,دانشگاه فردوسی مشهد,جامع,3
shahid-beheshti,دانشگاه شهید بهشتی,جامع,4
shiraz,دانشگاه شیراز,جامع,5
tabriz,دانشگاه تبریز,جامع,6
isfahan,دانشگاه اصفهان,جامع,7
razi,دانشگاه رازی,جامع,8
iasbs,دانشگاه تحصیلات تکمیلی علوم پایه زنجان,جامع,9
kharazmi,دانشگاه خوارزمی,جامع,10
allameh,دانشگاه علامه طباطبایی,جامع,11
shahid-bahonar-kerman,دانشگاه شهید باهنر کرمان,جامع,12
guilan,دانشگاه گیلان,جامع,13
urmia,دانشگاه ارومیه,جامع,14
semnan,دانشگاه سمنان,جامع,15
sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16
yazd,دانشگاه یزد,جامع,17
mohaghegh-ardabili,دانشگاه محقق اردبیلی,جامع,18
kurdistan,دانشگاه کردستان,جامع,19
shahid-chamran-ahvaz,دانشگاه شهید چمران اهواز,جامع,20
kashan,دانشگاه کاشان,جامع,21
shahrekord,دانشگاه شهرکرد,جامع,22
bu-ali-sina,دانشگاه بوعلی سینا,جامع,23
qom,دانشگاه قم,جامع,23
alzahra,دانشگاه الزهرا (س),جامع,25
mazandaran,دانشگاه مازندران,جامع,26
imam-khomeini-international,دانشگاه بین المللی امام خمینی (ره),جامع,27
persian-gulf,دانشگاه خلیج فارس,جامع,28
zanjan,دانشگاه زنجان,جامع,29
ilam,دانشگاه ایلام,جامع,30
hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31
arak,دانشگاه اراک,جامع,32
azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33
birjand,دانشگاه بیرجند,جامع,34
vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35
lorestan,دانشگاه لرستان,جامع,36
maragheh,دانشگاه مراغه,جامع,37
zabol,دانشگاه زابل,جامع,38
yasouj,دانشگاه یاسوج,جامع,38
damghan,دانشگاه دامغان,جامع,40
bonab,دانشگاه بناب,جامع,41
golestan,دانشگاه گلستان,جامع,42
hormozgan,دانشگاه هرمزگان,جامع,42
tafresh,دانشگاه تفرش,جامع,44
ardakan,دانشگاه اردکان,جامع,44
fasa,دانشگاه فسا,جامع,46
ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46
bojnord,دانشگاه بجنورد,جامع,46
khorramshahr-marine,دانشگاه علوم و فنون دریایی خرمشهر,جامع,49
meybod,دانشگاه میبد,جامع,50
bozorgmehr-qaenat,دانشگاه بزرگمهر قائنات,جامع,51
chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51
velayat,دانشگاه ولایت,جامع,53
amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54
malayer,دانشگاه ملایر,جامع,55
gonbad-kavous,دانشگاه گنبد کاووس,جامع,56
torbat-heydarieh,دانشگاه تربت حیدریه,جامع,57
hazrat-masoumeh,دانشگاه حضرت معصومه (س),جامع,58
jahrom,دانشگاه جهرم,جامع,59
kosar,دانشگاه کوثر,جامع,60
jiroft,دانشگاه جیرفت,جامع,61
salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62
lar-higher-ed,مرکز آموزش عالی لار,جامع,62
gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64
bam-higher-ed,مجتمع آموزش عالی بم,جامع,65
neyshabur,دانشگاه نیشابور,جامع,66
eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67
kashmar-higher-ed,مرکز آموزش عالی کاشمر,جامع,68
seyed-jamaleddin-asadabadi,دانشگاه سید جمال الدین اسدآبادی,جامع,68
