rank,universitySlug,nameFa,iscCategory,iscRank,score,confidence,evidenceCoverage,activeWeight,portalRankWithinISCClass,rankedPortalsInISCClass,metric_documents,metric_organization,metric_library,metric_laboratories,metric_systems,metric_industryTech,metric_dataQuality,metric_findability
1,ferdowsi,دانشگاه فردوسی مشهد,جامع,3,88.6,100,100,100,1,32,100,100,70,70,65,95,100,100
2,semnan,دانشگاه سمنان,جامع,15,83.9,100,100,100,2,32,91,90.8,70,100,60,55,100,100
3,shahed,دانشگاه شاهد,دستگاه اجرایی,2,83.5,100,100,100,1,3,82,100,100,70,47.5,75,100,100
4,lorestan,دانشگاه لرستان,جامع,36,85.6,89.9,86,88,3,32,100,90.8,70,70,,75,100,80
5,gorgan-agri,دانشگاه علوم کشاورزی و منابع طبیعی گرگان,علوم کشاورزی,1,85.2,89.9,86,88,1,2,91,81.7,70,,55,95,100,100
6,shahrekord,دانشگاه شهرکرد,جامع,22,80.3,100,100,100,4,32,82,90.8,70,70,55,75,100,100
7,qom,دانشگاه قم,جامع,23,83,89.9,86,88,5,32,100,72.5,70,,72.5,55,100,100
8,arak,دانشگاه اراک,جامع,32,78.9,100,100,100,6,32,82,81.7,70,70,72.5,55,100,100
9,damghan,دانشگاه دامغان,جامع,40,82.8,89.9,86,88,7,32,91,81.7,70,,37.5,95,100,100
10,sirjan-technology,دانشگاه صنعتی سیرجان,صنعتی,19,81.9,89.9,86,88,1,10,91,,100,70,37.5,75,100,100
11,bam-higher-ed,مجتمع آموزش عالی بم,جامع,65,81.6,89.9,86,88,8,32,100,81.7,70,70,,55,100,80
12,salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62,81.5,89.9,86,88,9,32,82,90.8,70,70,,75,100,80
13,iust,دانشگاه علم و صنعت ایران,صنعتی,1,80.7,95,93,88,2,10,82,81.7,70,70,61.7,,100,100
14,shahrood-technology,دانشگاه صنعتی شاهرود,صنعتی,6,80.6,95,93,88,3,10,100,,70,70,37.5,75,100,100
15,malayer,دانشگاه ملایر,جامع,55,80.6,95,93,88,10,32,100,72.5,70,,55,55,100,100
16,kharazmi,دانشگاه خوارزمی,جامع,10,74.5,100,100,100,11,32,54.3,90.8,70,70,52.5,75,100,100
17,meybod,دانشگاه میبد,جامع,50,73.5,100,100,100,12,32,91,90.8,70,70,0,75,100,80
18,isfahan-technology,دانشگاه صنعتی اصفهان,صنعتی,5,73.1,100,100,100,4,10,100,72.5,70,70,0,75,100,80
19,kashan,دانشگاه کاشان,جامع,21,76.1,89.9,86,88,13,32,82,72.5,70,70,37.5,,100,100
20,yazd,دانشگاه یزد,جامع,17,72.9,100,100,100,14,32,100,90.8,70,70,0,55,100,80
21,ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46,75.8,95,93,88,15,32,91,,70,70,37.5,55,100,100
22,zanjan,دانشگاه زنجان,جامع,29,74.1,89.9,86,88,16,32,100,81.7,70,70,,0,100,80
23,shiraz,دانشگاه شیراز,جامع,5,70.6,100,100,100,17,32,100,72.5,70,70,37.5,0,100,100
24,mohaghegh-ardabili,دانشگاه محقق اردبیلی,جامع,18,70.6,100,100,100,18,32,100,72.5,70,70,37.5,0,100,100
25,neyshabur,دانشگاه نیشابور,جامع,66,73.2,89.9,86,88,19,32,100,,70,70,0,75,100,80
26,shiraz-art,دانشگاه هنر شیراز,هنر,4,72.8,89.9,86,88,1,2,100,72.5,70,70,0,,100,80
27,bonab,دانشگاه بناب,جامع,41,70,100,100,100,20,32,91,81.7,70,70,0,55,100,80
28,buin-zahra-higher-ed,مرکز آموزش عالی فنی و مهندسی بوئین زهرا,صنعتی,23,69.3,100,100,100,5,10,82,90.8,70,70,0,55,100,80
29,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,71.1,89.9,86,88,21,32,100,63.3,0,70,,55,100,80
30,sistan-baluchestan,دانشگاه سیستان و بلوچستان,جامع,16,71.1,89.9,86,88,22,32,91,,70,70,0,75,100,80
31,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,70.3,89.9,86,88,23,32,100,,70,70,37.5,0,100,100
32,jundi-shapur-dezful,دانشگاه صنعتی جندی شاپور دزفول,صنعتی,16,67.5,100,100,100,6,10,73,90.8,70,70,0,55,100,80
33,bojnord,دانشگاه بجنورد,جامع,46,72.9,84.9,79,76,24,32,100,,70,70,,0,100,80
34,hormozgan,دانشگاه هرمزگان,جامع,42,68.3,89.9,86,88,25,32,91,,70,70,37.5,0,100,100
35,sari-agri,دانشگاه علوم کشاورزی و منابع طبیعی ساری,علوم کشاورزی,2,66.3,95,93,88,2,2,82,,70,70,37.5,0,100,100
36,shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,68.2,84.9,79,78,7,10,91,,,70,0,55,100,80
37,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,65.7,89.9,86,88,26,32,100,54.2,0,0,77.5,,100,100
38,tabriz-islamic-art,دانشگاه هنر اسلامی تبریز,هنر,2,62.3,100,100,100,2,2,91,72.5,70,70,0,0,100,80
39,urmia,دانشگاه ارومیه,جامع,14,62.3,100,100,100,27,32,91,72.5,70,70,0,0,100,80
40,mazandaran-science-tech,دانشگاه علم و فناوری مازندران (بهشهر),صنعتی,20,63.2,89.9,86,88,8,10,91,,0,70,0,75,100,80
41,petroleum,دانشگاه صنعت نفت,دستگاه اجرایی,8,60.1,100,100,100,2,3,82,63.3,0,0,37.5,80,100,100
42,gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64,60.9,95,93,88,28,32,91,,70,70,0,0,100,80
43,chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51,59,100,100,100,29,32,82,63.3,0,70,0,55,100,80
44,gonbad-kavous,دانشگاه گنبد کاووس,جامع,56,60.2,89.9,86,88,30,32,100,54.2,0,0,37.5,,100,100
45,amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54,58.9,100,100,100,31,32,91,63.3,0,0,37.5,55,100,100
46,shahid-rajaee,دانشگاه تربیت دبیر شهید رجایی,دستگاه اجرایی,4,58.9,89.9,86,88,3,3,91,,70,0,0,55,100,80
47,hamedan-technology,دانشگاه صنعتی همدان,صنعتی,17,54.2,100,100,100,9,10,91,63.3,0,70,0,0,100,80
48,qom-technology,دانشگاه صنعتی قم,صنعتی,15,51.4,89.9,86,80,10,10,,63.3,70,0,37.5,0,100,100
49,eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67,31.7,89.9,86,88,32,32,0,,0,70,0,0,100,75
