id,universitySlug,nameFa,type,parentUnitId,relationStatus,url,sourceUrl,evidence,lastVerified
tehran-1,tehran,امور پژوهشی,research,,,,https://research.ut.ac.ir/fa,verified,2026-08-10
tehran-2,tehran,کتابخانه مرکزی و مرکز اسناد,library,,,,https://research.ut.ac.ir/fa,verified,2026-08-10
tehran-3,tehran,امور آزمایشگاه‌ها,laboratory,,,,https://research.ut.ac.ir/fa,verified,2026-08-10
tehran-4,tehran,انتقال فناوری و مالکیت فکری,technology,,,,https://research.ut.ac.ir/fa,verified,2026-08-10
tehran-5,tehran,مجلات و علم‌سنجی,publishing,,,,https://research.ut.ac.ir/fa,verified,2026-08-10
tehran-6,tehran,مراکز و مؤسسات پژوهشی,research-centers,,,,https://research.ut.ac.ir/fa,verified,2026-08-10
ferdowsi-1,ferdowsi,مدیریت پژوهشی,research,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-2,ferdowsi,ارتباط با صنعت و جامعه,industry,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-3,ferdowsi,شبکه آزمایشگاه‌ها و کارگاه‌ها,laboratory,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-4,ferdowsi,مدیریت نشر و کتابخانه مرکزی,library,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-5,ferdowsi,نوآوری و مالکیت فکری,technology,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-6,ferdowsi,علم‌سنجی و اطلاع‌رسانی علمی,publishing,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-7,ferdowsi,پژوهشکده‌ها و مراکز پژوهشی,research-centers,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-industry,ferdowsi,مدیریت ارتباط با صنعت و جامعه,industry,,,https://tto.um.ac.ir/,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-innovation,ferdowsi,مدیریت نوآوری و مالکیت فکری,technology,,,https://innov.um.ac.ir/,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-labs,ferdowsi,مدیریت شبکه آزمایشگاه‌ها و کارگاه‌ها,laboratory,,,https://labs.um.ac.ir/,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-library,ferdowsi,مدیریت نشر و کتابخانه مرکزی,library,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-research,ferdowsi,مدیریت پژوهشی,research,,,,https://vpr.um.ac.ir/,verified,2026-08-10
ferdowsi-scientometrics,ferdowsi,گروه علم‌سنجی و اطلاع‌رسانی علمی,publishing,,,https://sis.um.ac.ir/,https://vpr.um.ac.ir/,verified,2026-08-10
isfahan-1,isfahan,امور پژوهشی,research,,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-2,isfahan,مدیریت کتابخانه‌ها و مرکز اسناد,library,,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-3,isfahan,آزمایشگاه مرکزی,laboratory,,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-4,isfahan,ارتباط با صنعت و جامعه,industry,,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-5,isfahan,فناوری، رشد و کارآفرینی,technology,,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-6,isfahan,مالکیت فکری و تجاری‌سازی,technology,,,,https://research.ui.ac.ir/,verified,2026-08-10
isfahan-7,isfahan,چاپ و انتشارات,publishing,,,,https://research.ui.ac.ir/,verified,2026-08-10
